"Depth" "Age" "Si" "Si.Al" "Ti" "Al" "Fe" "Fe.Al" "Mn" "Mn.Al" "Mg" "Mg.Al" "Ca" "Ca.Al" "Na" "Na.Al" "K" "K.Al" "P" "P.Al" "V" "V.Al" "Cr" "Cr.Al" "Zr" "Zr.Al" "Ba" "Ba.Al" "Ni" "Ni.Al" "Zn" "Zn.Al" "Ga" "Ga.Al" "Sr" "Sr.Al" "Nb" "Nb.Al"
"Depth" 0 1.2736474290365 0 0 0 0 0 0 0.61435987923337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Age" 1.2736474290365 0 0 0 0 0 0 0 0.61435987923337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Si" 0 0 0 0 0 0 0.898121150038005 0 0 0 0 0 0.804563878146494 0.902939616637041 0 0 0 0 0 0 0.888004287804154 0 0 0 0 0 0 0 0 0 0.638742486290363 0 0 0 0 0.916217126509225 0 0
"Si.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.916217126509225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Al" 0 0 0 0 0 0 0 0 0 0 0 0 0.853834772616149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fe" 0 0 0.898121150038005 0 0 0 0 0 0 0 1.01249471102676 0 1.01249471102676 0 0 0 0 0 0 0 0.741710508588642 0 0 0 0 0 0 0 0 0 0.719556219527199 0 0 0 0 0 0 0
"Fe.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mn" 0.61435987923337 0.61435987923337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mn.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mg" 0 0 0 0 0 0 1.01249471102676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7505818390082 0 0 0 0 0 0 0
"Mg.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ca" 0 0 0.804563878146494 0 0 0.853834772616149 1.01249471102676 0 0 0 0 0 0 0 0 0 0.705198006554151 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7505818390082 0 0 0 0 0 0 0
"Ca.Al" 0 0 0.902939616637041 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.801267617715925 0 0 0 0 0 0 0 0 0 0.982900727715156 0 0
"Na" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Na.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"K" 0 0 0 0 0 0 0 0 0 0 0 0 0.705198006554151 0 0 0 0 0 0 0 0 0 0 0 0 0.75106531866284 0 0 0 0 0 0 0 0 0 0 0 0
"K.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.765774464704424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"V" 0 0 0.888004287804154 0 0.916217126509225 0 0.741710508588642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"V.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.765774464704424 0 0 0 0 0 0.799517330605315 0.652161057724484 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cr.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.799517330605315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.652161057724484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zr.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.801267617715925 0 0 0.75106531866284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.885861091037971 0 0
"Ba" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ba.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.752218382327226 0 0
"Ni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46891872217658 0 0 0 0 0 0 0 0
"Ni.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46891872217658 0 0 0 0 0 0 0 0 0
"Zn" 0 0 0.638742486290363 0 0 0 0.719556219527199 0 0 0 0.7505818390082 0 0.7505818390082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zn.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ga" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ga.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sr.Al" 0 0 0.916217126509225 0 0 0 0 0 0 0 0 0 0 0.982900727715156 0 0 0 0 0 0 0 0 0 0 0 0.885861091037971 0 0.752218382327226 0 0 0 0 0 0 0 0 0 0
"Nb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nb.Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
